,Collection,|V|,|E|,d_max,d_avg,|T|,T_avg,T_max,cc_avg,cc_global
0,Web Graphs,497453,627871,8,2,21499,0,4,0.0136507,0.0179132
1,Web Graphs,793326,1010415,8,2,30635,0,4,0.0122063,0.0157711
2,Web Graphs,474009,606264,8,2,21813,0,6,0.0139087,0.0185995
3,Web Graphs,463651,551695,7,2,32089,0,4,0.022135,0.0334925
4,Web Graphs,64891,76637,6,2,3759,0,4,0.0180446,0.0278827
5,Web Graphs,738870,867077,8,2,40061,0,5,0.0173038,0.0269218
6,Web Graphs,212309,259235,7,2,8854,0,6,0.0130795,0.0187889
7,Web Graphs,448241,537986,8,2,23274,0,7,0.0168076,0.0243798
8,Web Graphs,116915,132701,7,2,6557,0,4,0.0200182,0.0308198
9,Web Graphs,413246,482124,7,2,22371,0,4,0.0174461,0.0274846
10,Web Graphs,265909,316412,8,2,14703,0,4,0.0171702,0.0258476
11,Web Graphs,248728,295114,6,2,15111,0,4,0.0189932,0.0298628
12,Web Graphs,413572,498090,8,2,19310,0,4,0.0147918,0.0215669
13,Web Graphs,194497,213903,6,2,8809,0,4,0.0153654,0.0265534
14,Web Graphs,519147,633438,8,2,24674,0,6,0.0148166,0.0214063
15,Web Graphs,330382,434947,8,2,23901,0,4,0.02183,0.0275442
16,Web Graphs,483167,561534,7,2,21914,0,4,0.0148732,0.0232665
17,Web Graphs,716197,894214,8,2,51111,0,5,0.0221134,0.0310538
18,Web Graphs,317896,360195,7,2,15096,0,4,0.0157419,0.026169
19,Web Graphs,540972,662527,8,2,23526,0,4,0.0138998,0.0192537
20,Web Graphs,308398,383851,7,2,24655,0,6,0.0251121,0.0347386
21,Web Graphs,467526,565800,8,2,43733,0,6,0.0281196,0.0437023
22,Facebook Networks,253074,303423,8,2,25734,0,4,0.0307327,0.0494656
23,Facebook Networks,676050,841011,8,2,29905,0,4,0.0139769,0.0191711
24,Facebook Networks,536233,626718,7,2,33438,0,4,0.019518,0.0313143
25,Facebook Networks,261151,310462,8,2,19141,0,4,0.022033,0.0363359
26,Facebook Networks,2073834,2578044,8,2,153104,0,4,0.0231812,0.0320261
27,Facebook Networks,583478,673900,7,2,27994,0,4,0.0158075,0.0249095
28,Facebook Networks,545108,664608,8,2,38452,0,4,0.0215755,0.0324468
29,Facebook Networks,547016,669225,8,2,23421,0,6,0.0133891,0.0191171
30,Facebook Networks,575856,673707,9,2,26058,0,4,0.0142027,0.0221127
31,Facebook Networks,300143,328101,7,2,9408,0,4,0.0104391,0.0185472
32,Facebook Networks,887617,1006619,7,2,36102,0,6,0.0132978,0.0217008
33,Facebook Networks,675392,805989,8,2,30068,0,4,0.0145993,0.021392
34,Facebook Networks,566834,659570,8,2,31315,0,5,0.0179651,0.0281446
35,Facebook Networks,630627,711991,8,2,26835,0,4,0.0137816,0.0226
36,Facebook Networks,1613303,1985254,8,2,83709,0,5,0.016296,0.0229527
37,Facebook Networks,153008,186605,6,2,11592,0,3,0.0244863,0.0347171
38,Facebook Networks,69081,77928,6,2,2550,0,4,0.0120245,0.0198996
39,Facebook Networks,210780,260583,8,2,7757,0,4,0.0114009,0.0159828
40,Facebook Networks,97972,107063,6,2,4590,0,4,0.0157661,0.0283571
41,Facebook Networks,673520,842362,8,2,36321,0,8,0.0172481,0.0228574
42,Facebook Networks,308153,391528,8,2,10887,0,4,0.0108645,0.0145583
43,Facebook Networks,467966,524606,7,2,17801,0,4,0.0125082,0.0210694
44,Facebook Networks,271447,318070,7,2,17023,0,4,0.0196098,0.0317553
45,Facebook Networks,9559,14884,6,3,1663,0,4,0.0388604,0.0468279
46,Facebook Networks,389999,501486,8,2,14722,0,4,0.0117182,0.0151465
47,Facebook Networks,1048497,1326812,8,2,65969,0,4,0.0203323,0.0261721
48,Facebook Networks,874825,1085690,9,2,48519,0,8,0.0172802,0.024313
49,Facebook Networks,53658,69046,6,2,3849,0,5,0.0221154,0.028686
50,Facebook Networks,49108,60288,6,2,3673,0,4,0.0236995,0.0331705